Link,Project Name
https://thecleverprogrammer.com/2024/09/09/packaging-machine-learning-models-with-python/,Packaging Machine Learning Models
https://thecleverprogrammer.com/2024/09/23/creating-a-mutual-fund-plan-with-python/,Creating a Mutual Fund Investment Plan
https://thecleverprogrammer.com/2024/07/01/stock-market-portfolio-optimization-with-python/,Stock Market Portfolio Optimization
https://thecleverprogrammer.com/2024/07/22/price-optimization-using-python/,Price Optimization
https://thecleverprogrammer.com/2024/08/05/generative-ai-model-from-scratch-with-python/,Generative AI Model from Scratch
https://thecleverprogrammer.com/2024/06/10/elections-ad-spending-analysis-with-python/,Election Ad Spending Analysis
https://thecleverprogrammer.com/2024/08/26/chatgpt-reviews-analysis-with-python/,ChatGPT Reviews Analysis
https://thecleverprogrammer.com/2024/09/16/analyzing-screen-time-with-python/,Analyzing Screen Time
https://thecleverprogrammer.com/2024/08/19/price-elasticity-of-demand-analysis-with-python/,Price Elasticity of Demand Analysis
https://thecleverprogrammer.com/2024/05/20/ipl-2024-rcb-vs-dc-analysis-using-python/,IPL 2024 RCB vs DC Analysis
https://thecleverprogrammer.com/2024/05/13/metro-operations-optimization-using-python/,Metro Operations Optimization
https://thecleverprogrammer.com/2024/03/18/electric-vehicles-market-size-analysis-using-python/,Electric Vehicles Market Size Analysis
https://thecleverprogrammer.com/2024/08/12/inflation-impact-analysis-with-python/,Impact of Inflation Analysis
https://thecleverprogrammer.com/2023/07/31/music-recommendation-system-using-python/,Music Recommendation System using Spotify API
https://thecleverprogrammer.com/2024/06/03/youtube-data-collection-and-analysis-with-python/,Youtube Data Collection and Analysis
https://thecleverprogrammer.com/2024/06/17/t20-world-cup-2024-match-analysis/,India vs USA Match Analysis
https://thecleverprogrammer.com/2024/07/29/customer-satisfaction-analysis-with-python/,Customer Satisfaction Analysis
https://thecleverprogrammer.com/2024/06/24/video-chaptering-using-python/,Video Chaptering
https://thecleverprogrammer.com/2024/05/06/website-performance-analysis-using-python/,Website Performance Analysis
https://thecleverprogrammer.com/2024/04/15/data-collection-with-an-api-using-python/,Data Collection using APIs (for Data Engineers)
https://thecleverprogrammer.com/2024/05/27/code-generation-model-using-llms/,Code Generation Model using LLMs
https://thecleverprogrammer.com/2024/02/05/fashion-recommendation-system-using-image-features/,Fashion Recommendation System using Image Features
https://thecleverprogrammer.com/2024/02/26/user-profiling-and-segmentation-using-python/,User Profiling & Segmentation
https://thecleverprogrammer.com/2024/02/12/food-delivery-cost-and-profitability-analysis-using-python/,Food Delivery Cost and Profitability Analysis
https://thecleverprogrammer.com/2024/01/29/delhi-metro-network-analysis-using-python/,Delhi Metro Network Analysis
https://thecleverprogrammer.com/2024/01/15/quantitative-analysis-of-stock-market-using-python/,Quantitative Analysis of Stock Market
https://thecleverprogrammer.com/2024/04/25/statistical-modelling-using-python/,Statistical Modelling
https://thecleverprogrammer.com/2024/04/29/health-monitoring-and-analysis-using-python/,Health Monitoring & Analysis
https://thecleverprogrammer.com/2024/04/08/stock-market-anomaly-detection-using-python/,Stock Market Anomaly Detection
https://thecleverprogrammer.com/2024/03/25/hypothesis-testing-using-python/,Hypothesis Testing
https://thecleverprogrammer.com/2023/12/18/build-an-end-to-end-machine-learning-model/,End to End Predictive Model
